Date/Time,VM name,Number VMs,CPU time,Mem access time,Net time
Mon Jul  8 14:50:09 2019,BASELINE (no vm),0,32475,10089,4575
Mon Jul  8 14:50:10 2019,BASELINE (no vm),0,32392,9884,4619
Mon Jul  8 14:50:11 2019,BASELINE (no vm),0,32465,9921,4579
Mon Jul  8 14:50:12 2019,BASELINE (no vm),0,32460,9835,4572
Mon Jul  8 14:50:13 2019,BASELINE (no vm),0,32400,9851,4542
Mon Jul  8 14:50:14 2019,BASELINE (no vm),0,32258,9855,4422
Mon Jul  8 14:50:15 2019,BASELINE (no vm),0,32207,9803,4535
Mon Jul  8 14:50:16 2019,BASELINE (no vm),0,32306,9823,4553
Mon Jul  8 14:50:17 2019,BASELINE (no vm),0,32331,9788,4470
Mon Jul  8 14:50:18 2019,BASELINE (no vm),0,32203,9780,4473
Mon Jul  8 14:50:19 2019,BASELINE (no vm),0,32328,9799,4508
Mon Jul  8 14:50:20 2019,BASELINE (no vm),0,32219,9781,4569
Mon Jul  8 14:50:21 2019,BASELINE (no vm),0,32089,9726,4538
Mon Jul  8 14:50:22 2019,BASELINE (no vm),0,32334,9767,4529
Mon Jul  8 14:50:23 2019,BASELINE (no vm),0,32269,9789,4519
Mon Jul  8 14:50:24 2019,BASELINE (no vm),0,32154,9760,4498
Mon Jul  8 14:50:25 2019,BASELINE (no vm),0,32230,9782,4559
Mon Jul  8 14:50:26 2019,BASELINE (no vm),0,32024,9767,4520
Mon Jul  8 14:50:27 2019,BASELINE (no vm),0,32351,9825,4488
