Date/Time,VM name,Number VMs,CPU time,Mem access time,Net time
Wed Jul 10 16:45:18 2019,BASELINE (no vm),0,54541,17825,9325
Wed Jul 10 16:45:19 2019,BASELINE (no vm),0,54263,17792,8909
Wed Jul 10 16:45:20 2019,BASELINE (no vm),0,54232,17780,9092
Wed Jul 10 16:45:21 2019,BASELINE (no vm),0,54287,17796,9048
Wed Jul 10 16:45:22 2019,BASELINE (no vm),0,54243,17799,8924
Wed Jul 10 16:45:23 2019,BASELINE (no vm),0,54246,17826,9037
Wed Jul 10 16:45:24 2019,BASELINE (no vm),0,54263,17791,8828
Wed Jul 10 16:45:25 2019,BASELINE (no vm),0,54237,17802,8834
Wed Jul 10 16:45:26 2019,BASELINE (no vm),0,54266,17820,8871
Wed Jul 10 16:45:27 2019,BASELINE (no vm),0,54219,17785,8928
Wed Jul 10 16:45:28 2019,BASELINE (no vm),0,54200,17785,8844
Wed Jul 10 16:45:29 2019,BASELINE (no vm),0,54439,17802,8986
Wed Jul 10 16:45:30 2019,BASELINE (no vm),0,54215,17881,8853
Wed Jul 10 16:45:31 2019,BASELINE (no vm),0,54250,17816,8968
Wed Jul 10 16:45:32 2019,BASELINE (no vm),0,54200,17782,8843
Wed Jul 10 16:45:33 2019,BASELINE (no vm),0,54214,17780,8902
Wed Jul 10 16:45:34 2019,BASELINE (no vm),0,54203,17802,8830
Wed Jul 10 16:45:35 2019,BASELINE (no vm),0,54239,17785,9111
Wed Jul 10 16:45:36 2019,BASELINE (no vm),0,54230,17785,9107
Wed Jul 10 16:45:37 2019,BASELINE (no vm),0,54208,17788,9005
Wed Jul 10 16:45:38 2019,BASELINE (no vm),0,54225,17784,8998
Wed Jul 10 16:45:39 2019,BASELINE (no vm),0,54263,17792,8950
Wed Jul 10 16:45:40 2019,BASELINE (no vm),0,54229,17792,8930
Wed Jul 10 16:45:41 2019,BASELINE (no vm),0,54224,17790,8964
Wed Jul 10 16:45:42 2019,BASELINE (no vm),0,54212,17786,8990
Wed Jul 10 16:45:43 2019,BASELINE (no vm),0,54239,17780,9018
Wed Jul 10 16:45:44 2019,BASELINE (no vm),0,54225,17793,8950
Wed Jul 10 16:45:45 2019,BASELINE (no vm),0,54230,17795,8911
Wed Jul 10 16:45:46 2019,BASELINE (no vm),0,54196,17789,8781
Wed Jul 10 16:45:47 2019,BASELINE (no vm),0,54234,17784,9028
Wed Jul 10 16:45:48 2019,BASELINE (no vm),0,54248,17780,9088
Wed Jul 10 16:45:49 2019,BASELINE (no vm),0,54244,17786,9168
Wed Jul 10 16:45:50 2019,BASELINE (no vm),0,54214,17791,8896
Wed Jul 10 16:45:51 2019,BASELINE (no vm),0,54264,17784,9032
Wed Jul 10 16:45:52 2019,BASELINE (no vm),0,54225,17789,9205
Wed Jul 10 16:45:53 2019,BASELINE (no vm),0,54231,17793,9043
Wed Jul 10 16:45:54 2019,BASELINE (no vm),0,54235,17791,8760
Wed Jul 10 16:45:55 2019,BASELINE (no vm),0,54296,17783,8809
Wed Jul 10 16:45:56 2019,BASELINE (no vm),0,54223,17791,8872
Wed Jul 10 16:45:57 2019,BASELINE (no vm),0,54306,17802,8995
Wed Jul 10 16:45:58 2019,BASELINE (no vm),0,54249,17806,8847
Wed Jul 10 16:45:59 2019,BASELINE (no vm),0,54234,17783,8898
Wed Jul 10 16:46:00 2019,BASELINE (no vm),0,54247,17783,8928
Wed Jul 10 16:46:01 2019,BASELINE (no vm),0,54222,17852,8929
Wed Jul 10 16:46:02 2019,BASELINE (no vm),0,54198,17825,8829
Wed Jul 10 16:46:03 2019,BASELINE (no vm),0,54245,17791,8881
Wed Jul 10 16:46:04 2019,BASELINE (no vm),0,54239,17805,8831
Wed Jul 10 16:46:05 2019,BASELINE (no vm),0,54214,17792,8863
Wed Jul 10 16:46:06 2019,BASELINE (no vm),0,54186,17781,8992
Wed Jul 10 16:46:07 2019,BASELINE (no vm),0,54238,17787,8866
Wed Jul 10 16:46:08 2019,BASELINE (no vm),0,54225,17786,8956
Wed Jul 10 16:46:09 2019,BASELINE (no vm),0,54237,17784,8902
Wed Jul 10 16:46:10 2019,BASELINE (no vm),0,54276,17781,9017
Wed Jul 10 16:46:11 2019,BASELINE (no vm),0,54200,17812,9003
Wed Jul 10 16:46:12 2019,BASELINE (no vm),0,54217,17795,8981
Wed Jul 10 16:46:13 2019,BASELINE (no vm),0,54221,17800,8729
Wed Jul 10 16:46:14 2019,BASELINE (no vm),0,54239,17781,9023
Wed Jul 10 16:46:15 2019,BASELINE (no vm),0,54236,17791,8828
Wed Jul 10 16:46:16 2019,BASELINE (no vm),0,54256,17789,9144
Wed Jul 10 16:46:17 2019,BASELINE (no vm),0,54237,17809,8997
Wed Jul 10 16:46:18 2019,BASELINE (no vm),0,54345,17876,8906
Wed Jul 10 16:46:19 2019,BASELINE (no vm),0,54209,17782,8901
Wed Jul 10 16:46:20 2019,BASELINE (no vm),0,54290,17779,9122
Wed Jul 10 16:46:21 2019,BASELINE (no vm),0,54231,17782,9073
Wed Jul 10 16:46:22 2019,BASELINE (no vm),0,54469,17822,9123
Wed Jul 10 16:46:23 2019,BASELINE (no vm),0,54196,17782,8834
Wed Jul 10 16:46:24 2019,BASELINE (no vm),0,54216,17785,8994
Wed Jul 10 16:46:25 2019,BASELINE (no vm),0,54221,17802,8879
Wed Jul 10 16:46:26 2019,BASELINE (no vm),0,54232,17796,8925
Wed Jul 10 16:46:27 2019,BASELINE (no vm),0,54228,17785,8887
Wed Jul 10 16:46:28 2019,BASELINE (no vm),0,54221,17798,8901
Wed Jul 10 16:46:29 2019,BASELINE (no vm),0,54278,17791,9057
Wed Jul 10 16:46:30 2019,BASELINE (no vm),0,54281,17791,8978
Wed Jul 10 16:46:31 2019,BASELINE (no vm),0,54196,17778,8956
Wed Jul 10 16:46:32 2019,BASELINE (no vm),0,54283,17796,8837
Wed Jul 10 16:46:33 2019,BASELINE (no vm),0,54216,17799,8867
Wed Jul 10 16:46:34 2019,BASELINE (no vm),0,54252,17797,8945
Wed Jul 10 16:46:35 2019,BASELINE (no vm),0,54224,17781,8829
Wed Jul 10 16:46:36 2019,BASELINE (no vm),0,54237,17795,8868
Wed Jul 10 16:46:37 2019,BASELINE (no vm),0,54254,17780,8870
Wed Jul 10 16:46:38 2019,BASELINE (no vm),0,54208,17784,9070
Wed Jul 10 16:46:39 2019,BASELINE (no vm),0,54211,17780,8776
Wed Jul 10 16:46:40 2019,BASELINE (no vm),0,54227,17797,9036
Wed Jul 10 16:46:41 2019,BASELINE (no vm),0,54259,17776,8976
Wed Jul 10 16:46:42 2019,BASELINE (no vm),0,54192,17779,8756
Wed Jul 10 16:46:43 2019,BASELINE (no vm),0,54191,17777,9008
Wed Jul 10 16:46:44 2019,BASELINE (no vm),0,54206,17791,8832
Wed Jul 10 16:46:45 2019,BASELINE (no vm),0,54280,17790,8981
Wed Jul 10 16:46:46 2019,BASELINE (no vm),0,54256,17785,8937
Wed Jul 10 16:46:47 2019,BASELINE (no vm),0,54197,17778,8964
Wed Jul 10 16:46:48 2019,BASELINE (no vm),0,54208,17783,9069
Wed Jul 10 16:46:49 2019,BASELINE (no vm),0,54208,17779,8796
Wed Jul 10 16:46:50 2019,BASELINE (no vm),0,54221,17804,8685
Wed Jul 10 16:46:51 2019,BASELINE (no vm),0,54233,17807,8856
Wed Jul 10 16:46:52 2019,BASELINE (no vm),0,54222,17792,8720
Wed Jul 10 16:46:53 2019,BASELINE (no vm),0,54253,17826,8936
Wed Jul 10 16:46:54 2019,BASELINE (no vm),0,54224,17792,8977
Wed Jul 10 16:46:55 2019,BASELINE (no vm),0,54255,17806,8835
Wed Jul 10 16:46:56 2019,BASELINE (no vm),0,54227,17782,8830
Wed Jul 10 16:46:57 2019,BASELINE (no vm),0,54215,17799,8747
